"189017;""20300"";""MBG0095"";""BU0363AB05"";""2020JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB05"";""24.1"""
"189018;""20300"";""MBG0095"";""BU0363AB05"";""2022JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB05"";""29.6"""
"189019;""20300"";""MBG0095"";""BU0363AB05"";""2024JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB05"";""25.2"""
"189022;""20300"";""MBG0095"";""BU0363AB06"";""2020JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB06"";""31.3"""
"189023;""20300"";""MBG0095"";""BU0363AB06"";""2022JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB06"";""31.9"""
"189024;""20300"";""MBG0095"";""BU0363AB06"";""2024JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB06"";""31.1"""
"189027;""20300"";""MBG0095"";""BU0363AB07"";""2020JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB07"";""22.5"""
"189028;""20300"";""MBG0095"";""BU0363AB07"";""2022JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB07"";""27.9"""
"189029;""20300"";""MBG0095"";""BU0363AB07"";""2024JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB07"";""26.4"""
"189032;""20300"";""MBG0095"";""BU0363AB08"";""2020JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB08"";""33.1"""
"189033;""20300"";""MBG0095"";""BU0363AB08"";""2022JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB08"";""30.7"""
"189034;""20300"";""MBG0095"";""BU0363AB08"";""2024JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB08"";""28.2"""
"189037;""20300"";""MBG0095"";""BU0363AB09"";""2020JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB09"";""25.2"""
"189038;""20300"";""MBG0095"";""BU0363AB09"";""2022JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB09"";""31.7"""
"189039;""20300"";""MBG0095"";""BU0363AB09"";""2024JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB09"";""26.8"""
"189042;""20300"";""MBG0095"";""BU0363AB10"";""2020JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB10"";""24.7"""
"189043;""20300"";""MBG0095"";""BU0363AB10"";""2022JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB10"";""30.6"""
"189044;""20300"";""MBG0095"";""BU0363AB10"";""2024JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB10"";""26.2"""
"189047;""20300"";""MBG0095"";""BU0363AB11"";""2020JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB11"";""24.4"""
"189048;""20300"";""MBG0095"";""BU0363AB11"";""2022JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB11"";""29"""
"189049;""20300"";""MBG0095"";""BU0363AB11"";""2024JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AB11"";""24.4"""
"189052;""20300"";""MBG0095"";""WK0363AC  "";""2020JJ00"";""Amsterdam                               "";""Wijk    "";""WK0363AC  "";""18.7"""
"189053;""20300"";""MBG0095"";""WK0363AC  "";""2022JJ00"";""Amsterdam                               "";""Wijk    "";""WK0363AC  "";""27"""
"189054;""20300"";""MBG0095"";""WK0363AC  "";""2024JJ00"";""Amsterdam                               "";""Wijk    "";""WK0363AC  "";""23.9"""
"189057;""20300"";""MBG0095"";""BU0363AC01"";""2020JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AC01"";""17.6"""
"189058;""20300"";""MBG0095"";""BU0363AC01"";""2022JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AC01"";""24.8"""
"189059;""20300"";""MBG0095"";""BU0363AC01"";""2024JJ00"";""Amsterdam                               "";""Buurt   "";""BU0363AC01"";""23.2"""
