"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingGemeenteWijkBuurt_4"
"0";"NL00      ";"Nederland                               ";"Land      ";"NL00      ";"."
"1";"GM1680    ";"Aa en Hunze                             ";"Gemeente  ";"GM1680    ";"1"
"2";"WK168000  ";"Aa en Hunze                             ";"Wijk      ";"WK168000  ";"1"
"3";"BU16800000";"Aa en Hunze                             ";"Buurt     ";"BU16800000";"1"
"4";"BU16800009";"Aa en Hunze                             ";"Buurt     ";"BU16800009";"1"
"5";"WK168001  ";"Aa en Hunze                             ";"Wijk      ";"WK168001  ";"1"
"6";"BU16800100";"Aa en Hunze                             ";"Buurt     ";"BU16800100";"1"
"7";"BU16800109";"Aa en Hunze                             ";"Buurt     ";"BU16800109";"1"
"8";"WK168002  ";"Aa en Hunze                             ";"Wijk      ";"WK168002  ";"1"
"9";"BU16800200";"Aa en Hunze                             ";"Buurt     ";"BU16800200";"1"
"10";"BU16800209";"Aa en Hunze                             ";"Buurt     ";"BU16800209";"1"
"11";"WK168003  ";"Aa en Hunze                             ";"Wijk      ";"WK168003  ";"1"
"12";"BU16800300";"Aa en Hunze                             ";"Buurt     ";"BU16800300";"1"
"13";"BU16800309";"Aa en Hunze                             ";"Buurt     ";"BU16800309";"1"
"14";"WK168004  ";"Aa en Hunze                             ";"Wijk      ";"WK168004  ";"1"
"15";"BU16800400";"Aa en Hunze                             ";"Buurt     ";"BU16800400";"1"
"16";"BU16800409";"Aa en Hunze                             ";"Buurt     ";"BU16800409";"1"
"17";"WK168005  ";"Aa en Hunze                             ";"Wijk      ";"WK168005  ";"1"
"18";"BU16800500";"Aa en Hunze                             ";"Buurt     ";"BU16800500";"1"
"19";"BU16800509";"Aa en Hunze                             ";"Buurt     ";"BU16800509";"1"
"20";"WK168006  ";"Aa en Hunze                             ";"Wijk      ";"WK168006  ";"1"
"21";"BU16800600";"Aa en Hunze                             ";"Buurt     ";"BU16800600";"1"
"22";"BU16800609";"Aa en Hunze                             ";"Buurt     ";"BU16800609";"1"
"23";"WK168007  ";"Aa en Hunze                             ";"Wijk      ";"WK168007  ";"1"
"24";"BU16800700";"Aa en Hunze                             ";"Buurt     ";"BU16800700";"1"
"25";"BU16800709";"Aa en Hunze                             ";"Buurt     ";"BU16800709";"1"
"26";"WK168008  ";"Aa en Hunze                             ";"Wijk      ";"WK168008  ";"1"
"27";"BU16800800";"Aa en Hunze                             ";"Buurt     ";"BU16800800";"1"
"28";"BU16800809";"Aa en Hunze                             ";"Buurt     ";"BU16800809";"1"
"29";"WK168009  ";"Aa en Hunze                             ";"Wijk      ";"WK168009  ";"1"
"30";"BU16800900";"Aa en Hunze                             ";"Buurt     ";"BU16800900";"1"
"31";"BU16800909";"Aa en Hunze                             ";"Buurt     ";"BU16800909";"1"
"32";"WK168011  ";"Aa en Hunze                             ";"Wijk      ";"WK168011  ";"1"
"33";"BU16801100";"Aa en Hunze                             ";"Buurt     ";"BU16801100";"1"
"34";"BU16801109";"Aa en Hunze                             ";"Buurt     ";"BU16801109";"1"
"35";"WK168012  ";"Aa en Hunze                             ";"Wijk      ";"WK168012  ";"1"
"36";"BU16801200";"Aa en Hunze                             ";"Buurt     ";"BU16801200";"1"
"37";"BU16801209";"Aa en Hunze                             ";"Buurt     ";"BU16801209";"1"
"38";"WK168013  ";"Aa en Hunze                             ";"Wijk      ";"WK168013  ";"1"
"39";"BU16801300";"Aa en Hunze                             ";"Buurt     ";"BU16801300";"1"
"40";"BU16801309";"Aa en Hunze                             ";"Buurt     ";"BU16801309";"1"
"41";"WK168014  ";"Aa en Hunze                             ";"Wijk      ";"WK168014  ";"1"
"42";"BU16801400";"Aa en Hunze                             ";"Buurt     ";"BU16801400";"1"
"43";"BU16801401";"Aa en Hunze                             ";"Buurt     ";"BU16801401";"1"
"44";"BU16801409";"Aa en Hunze                             ";"Buurt     ";"BU16801409";"1"
"45";"WK168015  ";"Aa en Hunze                             ";"Wijk      ";"WK168015  ";"1"
"46";"BU16801500";"Aa en Hunze                             ";"Buurt     ";"BU16801500";"1"
"47";"BU16801501";"Aa en Hunze                             ";"Buurt     ";"BU16801501";"1"
"48";"BU16801509";"Aa en Hunze                             ";"Buurt     ";"BU16801509";"1"
"49";"WK168016  ";"Aa en Hunze                             ";"Wijk      ";"WK168016  ";"1"
"50";"BU16801600";"Aa en Hunze                             ";"Buurt     ";"BU16801600";"1"
"51";"BU16801601";"Aa en Hunze                             ";"Buurt     ";"BU16801601";"1"
"52";"BU16801609";"Aa en Hunze                             ";"Buurt     ";"BU16801609";"1"
"53";"WK168017  ";"Aa en Hunze                             ";"Wijk      ";"WK168017  ";"1"
"54";"BU16801700";"Aa en Hunze                             ";"Buurt     ";"BU16801700";"1"
"55";"BU16801709";"Aa en Hunze                             ";"Buurt     ";"BU16801709";"1"
"56";"WK168018  ";"Aa en Hunze                             ";"Wijk      ";"WK168018  ";"1"
"57";"BU16801800";"Aa en Hunze                             ";"Buurt     ";"BU16801800";"1"
"58";"BU16801801";"Aa en Hunze                             ";"Buurt     ";"BU16801801";"1"
"59";"BU16801802";"Aa en Hunze                             ";"Buurt     ";"BU16801802";"1"
"60";"BU16801809";"Aa en Hunze                             ";"Buurt     ";"BU16801809";"1"
"61";"WK168019  ";"Aa en Hunze                             ";"Wijk      ";"WK168019  ";"1"
"62";"BU16801900";"Aa en Hunze                             ";"Buurt     ";"BU16801900";"1"
"63";"BU16801901";"Aa en Hunze                             ";"Buurt     ";"BU16801901";"1"
"64";"BU16801902";"Aa en Hunze                             ";"Buurt     ";"BU16801902";"1"
"65";"BU16801903";"Aa en Hunze                             ";"Buurt     ";"BU16801903";"1"
"66";"BU16801908";"Aa en Hunze                             ";"Buurt     ";"BU16801908";"1"
"67";"BU16801909";"Aa en Hunze                             ";"Buurt     ";"BU16801909";"1"
"68";"WK168020  ";"Aa en Hunze                             ";"Wijk      ";"WK168020  ";"1"
"69";"BU16802000";"Aa en Hunze                             ";"Buurt     ";"BU16802000";"1"
"70";"BU16802001";"Aa en Hunze                             ";"Buurt     ";"BU16802001";"1"
"71";"BU16802008";"Aa en Hunze                             ";"Buurt     ";"BU16802008";"1"
"72";"BU16802009";"Aa en Hunze                             ";"Buurt     ";"BU16802009";"1"
"73";"WK168021  ";"Aa en Hunze                             ";"Wijk      ";"WK168021  ";"1"
"74";"BU16802100";"Aa en Hunze                             ";"Buurt     ";"BU16802100";"1"
"75";"BU16802101";"Aa en Hunze                             ";"Buurt     ";"BU16802101";"1"
"76";"BU16802109";"Aa en Hunze                             ";"Buurt     ";"BU16802109";"1"
"77";"GM0358    ";"Aalsmeer                                ";"Gemeente  ";"GM0358    ";"1"
"78";"WK035800  ";"Aalsmeer                                ";"Wijk      ";"WK035800  ";"1"
"79";"BU03580000";"Aalsmeer                                ";"Buurt     ";"BU03580000";"1"
"80";"BU03580001";"Aalsmeer                                ";"Buurt     ";"BU03580001";"1"
"81";"BU03580004";"Aalsmeer                                ";"Buurt     ";"BU03580004";"1"
"82";"BU03580005";"Aalsmeer                                ";"Buurt     ";"BU03580005";"1"
"83";"WK035801  ";"Aalsmeer                                ";"Wijk      ";"WK035801  ";"1"
"84";"BU03580100";"Aalsmeer                                ";"Buurt     ";"BU03580100";"1"
"85";"WK035802  ";"Aalsmeer                                ";"Wijk      ";"WK035802  ";"1"
"86";"BU03580200";"Aalsmeer                                ";"Buurt     ";"BU03580200";"1"
"87";"BU03580201";"Aalsmeer                                ";"Buurt     ";"BU03580201";"1"
"88";"BU03580205";"Aalsmeer                                ";"Buurt     ";"BU03580205";"1"
"89";"BU03580206";"Aalsmeer                                ";"Buurt     ";"BU03580206";"1"
"90";"GM0197    ";"Aalten                                  ";"Gemeente  ";"GM0197    ";"1"
"91";"WK019701  ";"Aalten                                  ";"Wijk      ";"WK019701  ";"1"
"92";"BU01970101";"Aalten                                  ";"Buurt     ";"BU01970101";"1"
"93";"BU01970102";"Aalten                                  ";"Buurt     ";"BU01970102";"1"
"94";"BU01970103";"Aalten                                  ";"Buurt     ";"BU01970103";"1"
"95";"BU01970104";"Aalten                                  ";"Buurt     ";"BU01970104";"1"
"96";"BU01970105";"Aalten                                  ";"Buurt     ";"BU01970105";"1"
"97";"BU01970106";"Aalten                                  ";"Buurt     ";"BU01970106";"1"
"98";"BU01970107";"Aalten                                  ";"Buurt     ";"BU01970107";"1"
"99";"BU01970108";"Aalten                                  ";"Buurt     ";"BU01970108";"1"
"100";"BU01970109";"Aalten                                  ";"Buurt     ";"BU01970109";"1"
"101";"BU01970110";"Aalten                                  ";"Buurt     ";"BU01970110";"1"
"102";"BU01970111";"Aalten                                  ";"Buurt     ";"BU01970111";"1"
"103";"BU01970112";"Aalten                                  ";"Buurt     ";"BU01970112";"1"
"104";"WK019702  ";"Aalten                                  ";"Wijk      ";"WK019702  ";"1"
"105";"BU01970201";"Aalten                                  ";"Buurt     ";"BU01970201";"1"
"106";"BU01970202";"Aalten                                  ";"Buurt     ";"BU01970202";"1"
"107";"BU01970203";"Aalten                                  ";"Buurt     ";"BU01970203";"1"
"108";"BU01970204";"Aalten                                  ";"Buurt     ";"BU01970204";"1"
"109";"WK019703  ";"Aalten                                  ";"Wijk      ";"WK019703  ";"1"
"110";"BU01970301";"Aalten                                  ";"Buurt     ";"BU01970301";"1"
"111";"BU01970302";"Aalten                                  ";"Buurt     ";"BU01970302";"1"
"112";"BU01970303";"Aalten                                  ";"Buurt     ";"BU01970303";"1"
"113";"BU01970304";"Aalten                                  ";"Buurt     ";"BU01970304";"1"
"114";"BU01970305";"Aalten                                  ";"Buurt     ";"BU01970305";"1"
"115";"BU01970306";"Aalten                                  ";"Buurt     ";"BU01970306";"1"
"116";"BU01970307";"Aalten                                  ";"Buurt     ";"BU01970307";"1"
"117";"WK019704  ";"Aalten                                  ";"Wijk      ";"WK019704  ";"1"
"118";"BU01970400";"Aalten                                  ";"Buurt     ";"BU01970400";"1"
"119";"BU01970401";"Aalten                                  ";"Buurt     ";"BU01970401";"1"
"120";"BU01970402";"Aalten                                  ";"Buurt     ";"BU01970402";"1"
"121";"BU01970403";"Aalten                                  ";"Buurt     ";"BU01970403";"1"
"122";"BU01970408";"Aalten                                  ";"Buurt     ";"BU01970408";"1"
"123";"BU01970409";"Aalten                                  ";"Buurt     ";"BU01970409";"1"
"124";"GM0059    ";"Achtkarspelen                           ";"Gemeente  ";"GM0059    ";"1"
"125";"WK005900  ";"Achtkarspelen                           ";"Wijk      ";"WK005900  ";"1"
"126";"BU00590000";"Achtkarspelen                           ";"Buurt     ";"BU00590000";"1"
"127";"BU00590001";"Achtkarspelen                           ";"Buurt     ";"BU00590001";"1"
"128";"BU00590002";"Achtkarspelen                           ";"Buurt     ";"BU00590002";"1"
"129";"BU00590003";"Achtkarspelen                           ";"Buurt     ";"BU00590003";"1"
"130";"BU00590004";"Achtkarspelen                           ";"Buurt     ";"BU00590004";"1"
"131";"BU00590005";"Achtkarspelen                           ";"Buurt     ";"BU00590005";"1"
"132";"BU00590006";"Achtkarspelen                           ";"Buurt     ";"BU00590006";"1"
"133";"BU00590007";"Achtkarspelen                           ";"Buurt     ";"BU00590007";"1"
"134";"BU00590008";"Achtkarspelen                           ";"Buurt     ";"BU00590008";"1"
"135";"BU00590009";"Achtkarspelen                           ";"Buurt     ";"BU00590009";"1"
"136";"WK005901  ";"Achtkarspelen                           ";"Wijk      ";"WK005901  ";"1"
"137";"BU00590100";"Achtkarspelen                           ";"Buurt     ";"BU00590100";"1"
"138";"BU00590102";"Achtkarspelen                           ";"Buurt     ";"BU00590102";"1"
"139";"BU00590103";"Achtkarspelen                           ";"Buurt     ";"BU00590103";"1"
"140";"BU00590107";"Achtkarspelen                           ";"Buurt     ";"BU00590107";"1"
"141";"BU00590108";"Achtkarspelen                           ";"Buurt     ";"BU00590108";"1"
"142";"BU00590109";"Achtkarspelen                           ";"Buurt     ";"BU00590109";"1"
"143";"WK005902  ";"Achtkarspelen                           ";"Wijk      ";"WK005902  ";"1"
"144";"BU00590200";"Achtkarspelen                           ";"Buurt     ";"BU00590200";"1"
"145";"BU00590201";"Achtkarspelen                           ";"Buurt     ";"BU00590201";"1"
"146";"BU00590202";"Achtkarspelen                           ";"Buurt     ";"BU00590202";"1"
"147";"BU00590203";"Achtkarspelen                           ";"Buurt     ";"BU00590203";"1"
"148";"BU00590206";"Achtkarspelen                           ";"Buurt     ";"BU00590206";"1"
"149";"BU00590207";"Achtkarspelen                           ";"Buurt     ";"BU00590207";"1"
"150";"BU00590208";"Achtkarspelen                           ";"Buurt     ";"BU00590208";"1"
"151";"BU00590209";"Achtkarspelen                           ";"Buurt     ";"BU00590209";"1"
"152";"GM0482    ";"Alblasserdam                            ";"Gemeente  ";"GM0482    ";"1"
"153";"WK048201  ";"Alblasserdam                            ";"Wijk      ";"WK048201  ";"1"
"154";"BU04820101";"Alblasserdam                            ";"Buurt     ";"BU04820101";"1"
"155";"BU04820102";"Alblasserdam                            ";"Buurt     ";"BU04820102";"1"
"156";"BU04820103";"Alblasserdam                            ";"Buurt     ";"BU04820103";"1"
"157";"BU04820104";"Alblasserdam                            ";"Buurt     ";"BU04820104";"1"
"158";"BU04820105";"Alblasserdam                            ";"Buurt     ";"BU04820105";"1"
"159";"WK048202  ";"Alblasserdam                            ";"Wijk      ";"WK048202  ";"1"
"160";"BU04820201";"Alblasserdam                            ";"Buurt     ";"BU04820201";"1"
"161";"BU04820202";"Alblasserdam                            ";"Buurt     ";"BU04820202";"1"
"162";"BU04820203";"Alblasserdam                            ";"Buurt     ";"BU04820203";"1"
"163";"BU04820204";"Alblasserdam                            ";"Buurt     ";"BU04820204";"1"
"164";"BU04820205";"Alblasserdam                            ";"Buurt     ";"BU04820205";"1"
"165";"BU04820206";"Alblasserdam                            ";"Buurt     ";"BU04820206";"1"
"166";"WK048203  ";"Alblasserdam                            ";"Wijk      ";"WK048203  ";"1"
"167";"BU04820301";"Alblasserdam                            ";"Buurt     ";"BU04820301";"1"
"168";"BU04820302";"Alblasserdam                            ";"Buurt     ";"BU04820302";"1"
"169";"BU04820303";"Alblasserdam                            ";"Buurt     ";"BU04820303";"1"
"170";"BU04820304";"Alblasserdam                            ";"Buurt     ";"BU04820304";"1"
"171";"BU04820305";"Alblasserdam                            ";"Buurt     ";"BU04820305";"1"
"172";"BU04820306";"Alblasserdam                            ";"Buurt     ";"BU04820306";"1"
"173";"BU04820307";"Alblasserdam                            ";"Buurt     ";"BU04820307";"1"
"174";"WK048204  ";"Alblasserdam                            ";"Wijk      ";"WK048204  ";"1"
"175";"BU04820401";"Alblasserdam                            ";"Buurt     ";"BU04820401";"1"
"176";"BU04820402";"Alblasserdam                            ";"Buurt     ";"BU04820402";"1"
"177";"BU04820403";"Alblasserdam                            ";"Buurt     ";"BU04820403";"1"
"178";"BU04820404";"Alblasserdam                            ";"Buurt     ";"BU04820404";"1"
"179";"WK048205  ";"Alblasserdam                            ";"Wijk      ";"WK048205  ";"1"
"180";"BU04820501";"Alblasserdam                            ";"Buurt     ";"BU04820501";"1"
"181";"BU04820502";"Alblasserdam                            ";"Buurt     ";"BU04820502";"1"
"182";"BU04820503";"Alblasserdam                            ";"Buurt     ";"BU04820503";"1"
"183";"WK048206  ";"Alblasserdam                            ";"Wijk      ";"WK048206  ";"1"
"184";"BU04820601";"Alblasserdam                            ";"Buurt     ";"BU04820601";"1"
"185";"BU04820602";"Alblasserdam                            ";"Buurt     ";"BU04820602";"1"
"186";"BU04820603";"Alblasserdam                            ";"Buurt     ";"BU04820603";"1"
"187";"BU04820604";"Alblasserdam                            ";"Buurt     ";"BU04820604";"1"
"188";"GM0613    ";"Albrandswaard                           ";"Gemeente  ";"GM0613    ";"1"
"189";"WK061301  ";"Albrandswaard                           ";"Wijk      ";"WK061301  ";"1"
"190";"BU06130101";"Albrandswaard                           ";"Buurt     ";"BU06130101";"1"
"191";"BU06130102";"Albrandswaard                           ";"Buurt     ";"BU06130102";"1"
"192";"BU06130103";"Albrandswaard                           ";"Buurt     ";"BU06130103";"1"
"193";"BU06130104";"Albrandswaard                           ";"Buurt     ";"BU06130104";"1"
"194";"WK061302  ";"Albrandswaard                           ";"Wijk      ";"WK061302  ";"1"
"195";"BU06130205";"Albrandswaard                           ";"Buurt     ";"BU06130205";"1"
"196";"BU06130207";"Albrandswaard                           ";"Buurt     ";"BU06130207";"1"
"197";"WK061303  ";"Albrandswaard                           ";"Wijk      ";"WK061303  ";"1"
"198";"BU06130308";"Albrandswaard                           ";"Buurt     ";"BU06130308";"1"
"199";"BU06130309";"Albrandswaard                           ";"Buurt     ";"BU06130309";"1"
"200";"BU06130310";"Albrandswaard                           ";"Buurt     ";"BU06130310";"1"
"201";"BU06130311";"Albrandswaard                           ";"Buurt     ";"BU06130311";"1"
"202";"BU06130312";"Albrandswaard                           ";"Buurt     ";"BU06130312";"1"
"203";"BU06130313";"Albrandswaard                           ";"Buurt     ";"BU06130313";"1"
"204";"WK061304  ";"Albrandswaard                           ";"Wijk      ";"WK061304  ";"1"
"205";"BU06130414";"Albrandswaard                           ";"Buurt     ";"BU06130414";"1"
"206";"BU06130415";"Albrandswaard                           ";"Buurt     ";"BU06130415";"1"
"207";"BU06130416";"Albrandswaard                           ";"Buurt     ";"BU06130416";"1"
"208";"BU06130417";"Albrandswaard                           ";"Buurt     ";"BU06130417";"1"
"209";"BU06130418";"Albrandswaard                           ";"Buurt     ";"BU06130418";"1"
"210";"BU06130419";"Albrandswaard                           ";"Buurt     ";"BU06130419";"1"
"211";"BU06130420";"Albrandswaard                           ";"Buurt     ";"BU06130420";"1"
"212";"WK061305  ";"Albrandswaard                           ";"Wijk      ";"WK061305  ";"1"
"213";"BU06130521";"Albrandswaard                           ";"Buurt     ";"BU06130521";"1"
"214";"BU06130522";"Albrandswaard                           ";"Buurt     ";"BU06130522";"1"
"215";"WK061306  ";"Albrandswaard                           ";"Wijk      ";"WK061306  ";"1"
"216";"BU06130623";"Albrandswaard                           ";"Buurt     ";"BU06130623";"1"
"217";"BU06130624";"Albrandswaard                           ";"Buurt     ";"BU06130624";"1"
"218";"BU06130625";"Albrandswaard                           ";"Buurt     ";"BU06130625";"1"
"219";"BU06130626";"Albrandswaard                           ";"Buurt     ";"BU06130626";"1"
"220";"WK061307  ";"Albrandswaard                           ";"Wijk      ";"WK061307  ";"1"
"221";"BU06130706";"Albrandswaard                           ";"Buurt     ";"BU06130706";"1"
"222";"GM0361    ";"Alkmaar                                 ";"Gemeente  ";"GM0361    ";"1"
"223";"WK036101  ";"Alkmaar                                 ";"Wijk      ";"WK036101  ";"1"
"224";"BU03610100";"Alkmaar                                 ";"Buurt     ";"BU03610100";"1"
"225";"BU03610101";"Alkmaar                                 ";"Buurt     ";"BU03610101";"1"
"226";"BU03610102";"Alkmaar                                 ";"Buurt     ";"BU03610102";"1"
"227";"BU03610103";"Alkmaar                                 ";"Buurt     ";"BU03610103";"1"
"228";"BU03610104";"Alkmaar                                 ";"Buurt     ";"BU03610104";"1"
"229";"BU03610105";"Alkmaar                                 ";"Buurt     ";"BU03610105";"1"
"230";"BU03610106";"Alkmaar                                 ";"Buurt     ";"BU03610106";"1"
"231";"BU03610107";"Alkmaar                                 ";"Buurt     ";"BU03610107";"1"
"232";"BU03610108";"Alkmaar                                 ";"Buurt     ";"BU03610108";"1"
"233";"BU03610109";"Alkmaar                                 ";"Buurt     ";"BU03610109";"1"
"234";"WK036102  ";"Alkmaar                                 ";"Wijk      ";"WK036102  ";"1"
"235";"BU03610200";"Alkmaar                                 ";"Buurt     ";"BU03610200";"1"
"236";"BU03610201";"Alkmaar                                 ";"Buurt     ";"BU03610201";"1"
"237";"BU03610202";"Alkmaar                                 ";"Buurt     ";"BU03610202";"1"
"238";"BU03610203";"Alkmaar                                 ";"Buurt     ";"BU03610203";"1"
"239";"BU03610204";"Alkmaar                                 ";"Buurt     ";"BU03610204";"1"
"240";"BU03610205";"Alkmaar                                 ";"Buurt     ";"BU03610205";"1"
"241";"BU03610206";"Alkmaar                                 ";"Buurt     ";"BU03610206";"1"
"242";"BU03610208";"Alkmaar                                 ";"Buurt     ";"BU03610208";"1"
"243";"BU03610209";"Alkmaar                                 ";"Buurt     ";"BU03610209";"1"
"244";"WK036103  ";"Alkmaar                                 ";"Wijk      ";"WK036103  ";"1"
"245";"BU03610300";"Alkmaar                                 ";"Buurt     ";"BU03610300";"1"
"246";"BU03610301";"Alkmaar                                 ";"Buurt     ";"BU03610301";"1"
"247";"BU03610302";"Alkmaar                                 ";"Buurt     ";"BU03610302";"1"
"248";"BU03610303";"Alkmaar                                 ";"Buurt     ";"BU03610303";"1"
"249";"BU03610308";"Alkmaar                                 ";"Buurt     ";"BU03610308";"1"
"250";"BU03610309";"Alkmaar                                 ";"Buurt     ";"BU03610309";"1"
"251";"WK036104  ";"Alkmaar                                 ";"Wijk      ";"WK036104  ";"1"
"252";"BU03610400";"Alkmaar                                 ";"Buurt     ";"BU03610400";"1"
"253";"BU03610401";"Alkmaar                                 ";"Buurt     ";"BU03610401";"1"
"254";"BU03610402";"Alkmaar                                 ";"Buurt     ";"BU03610402";"1"
"255";"BU03610403";"Alkmaar                                 ";"Buurt     ";"BU03610403";"1"
"256";"BU03610404";"Alkmaar                                 ";"Buurt     ";"BU03610404";"1"
"257";"BU03610409";"Alkmaar                                 ";"Buurt     ";"BU03610409";"1"
"258";"WK036105  ";"Alkmaar                                 ";"Wijk      ";"WK036105  ";"1"
"259";"BU03610500";"Alkmaar                                 ";"Buurt     ";"BU03610500";"1"
"260";"BU03610501";"Alkmaar                                 ";"Buurt     ";"BU03610501";"1"
"261";"BU03610502";"Alkmaar                                 ";"Buurt     ";"BU03610502";"1"
"262";"BU03610503";"Alkmaar                                 ";"Buurt     ";"BU03610503";"1"
"263";"WK036106  ";"Alkmaar                                 ";"Wijk      ";"WK036106  ";"1"
"264";"BU03610600";"Alkmaar                                 ";"Buurt     ";"BU03610600";"1"
"265";"BU03610601";"Alkmaar                                 ";"Buurt     ";"BU03610601";"1"
"266";"BU03610602";"Alkmaar                                 ";"Buurt     ";"BU03610602";"1"
"267";"BU03610603";"Alkmaar                                 ";"Buurt     ";"BU03610603";"1"
"268";"BU03610604";"Alkmaar                                 ";"Buurt     ";"BU03610604";"1"
"269";"WK036107  ";"Alkmaar                                 ";"Wijk      ";"WK036107  ";"1"
"270";"BU03610700";"Alkmaar                                 ";"Buurt     ";"BU03610700";"1"
"271";"BU03610701";"Alkmaar                                 ";"Buurt     ";"BU03610701";"1"
"272";"BU03610702";"Alkmaar                                 ";"Buurt     ";"BU03610702";"1"
"273";"BU03610703";"Alkmaar                                 ";"Buurt     ";"BU03610703";"1"
"274";"BU03610704";"Alkmaar                                 ";"Buurt     ";"BU03610704";"1"
"275";"BU03610709";"Alkmaar                                 ";"Buurt     ";"BU03610709";"1"
"276";"WK036108  ";"Alkmaar                                 ";"Wijk      ";"WK036108  ";"1"
"277";"BU03610800";"Alkmaar                                 ";"Buurt     ";"BU03610800";"1"
"278";"BU03610801";"Alkmaar                                 ";"Buurt     ";"BU03610801";"1"
"279";"BU03610802";"Alkmaar                                 ";"Buurt     ";"BU03610802";"1"
"280";"BU03610803";"Alkmaar                                 ";"Buurt     ";"BU03610803";"1"
"281";"WK036109  ";"Alkmaar                                 ";"Wijk      ";"WK036109  ";"1"
"282";"BU03610900";"Alkmaar                                 ";"Buurt     ";"BU03610900";"1"
"283";"BU03610901";"Alkmaar                                 ";"Buurt     ";"BU03610901";"1"
"284";"BU03610902";"Alkmaar                                 ";"Buurt     ";"BU03610902";"1"
"285";"BU03610903";"Alkmaar                                 ";"Buurt     ";"BU03610903";"1"
"286";"BU03610904";"Alkmaar                                 ";"Buurt     ";"BU03610904";"1"
"287";"BU03610905";"Alkmaar                                 ";"Buurt     ";"BU03610905";"1"
"288";"BU03610906";"Alkmaar                                 ";"Buurt     ";"BU03610906";"1"
"289";"WK036110  ";"Alkmaar                                 ";"Wijk      ";"WK036110  ";"1"
"290";"BU03611000";"Alkmaar                                 ";"Buurt     ";"BU03611000";"1"
"291";"BU03611001";"Alkmaar                                 ";"Buurt     ";"BU03611001";"1"
"292";"BU03611002";"Alkmaar                                 ";"Buurt     ";"BU03611002";"1"
"293";"BU03611003";"Alkmaar                                 ";"Buurt     ";"BU03611003";"1"
"294";"BU03611004";"Alkmaar                                 ";"Buurt     ";"BU03611004";"1"
"295";"BU03611005";"Alkmaar                                 ";"Buurt     ";"BU03611005";"1"
"296";"BU03611006";"Alkmaar                                 ";"Buurt     ";"BU03611006";"1"
"297";"WK036111  ";"Alkmaar                                 ";"Wijk      ";"WK036111  ";"1"
"298";"BU03611100";"Alkmaar                                 ";"Buurt     ";"BU03611100";"1"
"299";"BU03611101";"Alkmaar                                 ";"Buurt     ";"BU03611101";"1"
"300";"GM0141    ";"Almelo                                  ";"Gemeente  ";"GM0141    ";"1"
"301";"WK014110  ";"Almelo                                  ";"Wijk      ";"WK014110  ";"1"
"302";"BU01411000";"Almelo                                  ";"Buurt     ";"BU01411000";"1"
"303";"BU01411001";"Almelo                                  ";"Buurt     ";"BU01411001";"1"
"304";"BU01411002";"Almelo                                  ";"Buurt     ";"BU01411002";"1"
"305";"BU01411003";"Almelo                                  ";"Buurt     ";"BU01411003";"1"
"306";"WK014111  ";"Almelo                                  ";"Wijk      ";"WK014111  ";"1"
"307";"BU01411100";"Almelo                                  ";"Buurt     ";"BU01411100";"1"
"308";"BU01411101";"Almelo                                  ";"Buurt     ";"BU01411101";"1"
"309";"BU01411102";"Almelo                                  ";"Buurt     ";"BU01411102";"1"
"310";"BU01411103";"Almelo                                  ";"Buurt     ";"BU01411103";"1"
"311";"BU01411104";"Almelo                                  ";"Buurt     ";"BU01411104";"1"
"312";"BU01411105";"Almelo                                  ";"Buurt     ";"BU01411105";"1"
"313";"BU01411109";"Almelo                                  ";"Buurt     ";"BU01411109";"1"
"314";"WK014112  ";"Almelo                                  ";"Wijk      ";"WK014112  ";"1"
"315";"BU01411200";"Almelo                                  ";"Buurt     ";"BU01411200";"1"
"316";"BU01411201";"Almelo                                  ";"Buurt     ";"BU01411201";"1"
"317";"BU01411202";"Almelo                                  ";"Buurt     ";"BU01411202";"1"
"318";"BU01411203";"Almelo                                  ";"Buurt     ";"BU01411203";"1"
"319";"BU01411204";"Almelo                                  ";"Buurt     ";"BU01411204";"1"
"320";"BU01411205";"Almelo                                  ";"Buurt     ";"BU01411205";"1"
"321";"BU01411206";"Almelo                                  ";"Buurt     ";"BU01411206";"1"
"322";"BU01411209";"Almelo                                  ";"Buurt     ";"BU01411209";"1"
"323";"WK014113  ";"Almelo                                  ";"Wijk      ";"WK014113  ";"1"
"324";"BU01411300";"Almelo                                  ";"Buurt     ";"BU01411300";"1"
"325";"BU01411301";"Almelo                                  ";"Buurt     ";"BU01411301";"1"
"326";"BU01411302";"Almelo                                  ";"Buurt     ";"BU01411302";"1"
"327";"BU01411303";"Almelo                                  ";"Buurt     ";"BU01411303";"1"
"328";"BU01411304";"Almelo                                  ";"Buurt     ";"BU01411304";"1"
"329";"BU01411305";"Almelo                                  ";"Buurt     ";"BU01411305";"1"
"330";"BU01411309";"Almelo                                  ";"Buurt     ";"BU01411309";"1"
"331";"WK014114  ";"Almelo                                  ";"Wijk      ";"WK014114  ";"1"
"332";"BU01411400";"Almelo                                  ";"Buurt     ";"BU01411400";"1"
"333";"BU01411401";"Almelo                                  ";"Buurt     ";"BU01411401";"1"
"334";"BU01411402";"Almelo                                  ";"Buurt     ";"BU01411402";"1"
"335";"BU01411403";"Almelo                                  ";"Buurt     ";"BU01411403";"1"
"336";"BU01411404";"Almelo                                  ";"Buurt     ";"BU01411404";"1"
